"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.463072547E2,6.494696016E1,2.554904943E1,2.699665852E1,1.626036857E0,2.793427455E2,4.702257840E0,3.422471072E0
1.473072541E2,6.494696194E1,2.554901750E1,2.676488868E1,1.636877558E0,2.787325643E2,4.702042604E0,3.422766773E0
1.483072545E2,6.494696505E1,2.554898521E1,2.686653889E1,1.673142187E0,2.748910840E2,4.699108951E0,3.426793268E0
1.493072541E2,6.494696485E1,2.554895092E1,2.694792498E1,1.679276804E0,2.741982220E2,4.699543001E0,3.426197983E0
1.503072533E2,6.494696859E1,2.554891799E1,2.679208881E1,1.665653807E0,2.806930396E2,4.696138411E0,3.430863019E0
1.513072529E2,6.494696787E1,2.554888618E1,2.635381113E1,1.671634304E0,2.743506444E2,4.700152710E0,3.425361519E0
1.523072528E2,6.494696832E1,2.554885604E1,2.616250068E1,1.645059237E0,2.746951326E2,4.705092975E0,3.418572382E0
1.533072529E2,6.494696708E1,2.554882415E1,2.593493144E1,1.649432720E0,2.712014614E2,4.707898060E0,3.414708317E0
1.543072522E2,6.494696754E1,2.554879352E1,2.581182249E1,1.645020441E0,2.727638254E2,4.706986874E0,3.415964226E0
1.553072526E2,6.494696644E1,2.554876133E1,2.588389783E1,1.667101524E0,2.624458780E2,4.704332666E0,3.419618575E0
1.563072520E2,6.494697096E1,2.554873028E1,2.579519373E1,1.638413724E0,2.721988439E2,4.703168465E0,3.421219582E0
1.573072513E2,6.494697736E1,2.554869743E1,2.585810492E1,1.670221699E0,2.826482394E2,4.707332330E0,3.415488160E0
1.583072510E2,6.494698180E1,2.554866364E1,2.519809730E1,1.678775815E0,2.866382285E2,4.709992253E0,3.411819164E0
1.593072509E2,6.494697809E1,2.554862736E1,2.509493761E1,1.658982146E0,2.766737746E2,4.712640265E0,3.408160613E0
1.603072510E2,6.494697973E1,2.554859390E1,2.472405341E1,1.641420298E0,2.805474316E2,4.712970651E0,3.407703724E0
1.613072506E2,6.494698106E1,2.554855901E1,2.539927180E1,1.617708178E0,2.805220596E2,4.713986806E0,3.406297907E0
1.623072507E2,6.494698104E1,2.554852216E1,2.547537060E1,1.636213918E0,2.763940404E2,4.709627362E0,3.412322838E0
1.633072497E2,6.494698261E1,2.554848827E1,2.473450734E1,1.608513044E0,2.779550209E2,4.709963001E0,3.411859546E0
1.643072498E2,6.494698130E1,2.554845288E1,2.475822122E1,1.622745987E0,2.730016015E2,4.711619088E0,3.409572202E0
1.653072501E2,6.494698549E1,2.554841857E1,2.468262696E1,1.627924954E0,2.790247356E2,4.709385079E0,3.412657206E0
1.663072496E2,6.494698228E1,2.554838092E1,2.517395339E1,1.652110486E0,2.699721062E2,4.707178617E0,3.415700002E0
1.673072490E2,6.494698476E1,2.554834618E1,2.527978048E1,1.652964067E0,2.726115438E2,4.708451603E0,3.413945011E0
1.683072491E2,6.494698922E1,2.554831309E1,2.578378421E1,1.638011918E0,2.782140125E2,4.707690017E0,3.414995130E0
1.693072486E2,6.494698942E1,2.554827962E1,2.542351720E1,1.627941930E0,2.763134239E2,4.704632167E0,3.419206517E0
1.703072483E2,6.494699386E1,2.554824636E1,2.574505529E1,1.642018557E0,2.803859927E2,4.702983610E0,3.421473688E0
1.713072483E2,6.494699587E1,2.554821160E1,2.581548148E1,1.646546978E0,2.807060160E2,4.699109081E0,3.426793090E0
1.723072483E2,6.494699659E1,2.554817737E1,2.578614711E1,1.634755216E0,2.780168005E2,4.701045848E0,3.424135652E0
1.733072477E2,6.494699741E1,2.554814321E1,2.539809385E1,1.615315852E0,2.790832082E2,4.701652377E0,3.423302785E0
1.743072471E2,6.494699856E1,2.554811194E1,2.525871122E1,1.573124341E0,2.758621463E2,4.697673022E0,3.428761469E0
1.753072469E2,6.494700054E1,2.554808140E1,2.490549474E1,1.574041163E0,2.765113134E2,4.694848156E0,3.432628413E0
1.763072473E2,6.494699910E1,2.554804857E1,2.505417134E1,1.622529352E0,2.716925336E2,4.692165467E0,3.436294554E0
1.773072469E2,6.494700071E1,2.554801742E1,2.435262437E1,1.610827638E0,2.802603756E2,4.689284327E0,3.440225216E0
1.783072461E2,6.494700461E1,2.554798807E1,2.442082290E1,1.629406944E0,2.851834111E2,4.688583984E0,3.441179632E0
1.793072464E2,6.494700009E1,2.554795672E1,2.373142646E1,1.627848236E0,2.768814547E2,4.693462089E0,3.434523352E0
1.803072463E2,6.494700280E1,2.554792347E1,2.354942883E1,1.657863646E0,2.798307542E2,4.698988907E0,3.426957876E0
1.813072465E2,6.494700641E1,2.554788902E1,2.329641174E1,1.656149032E0,2.815478640E2,4.701968633E0,3.422868389E0
1.823072458E2,6.494700470E1,2.554785567E1,2.329845847E1,1.640561488E0,2.741592425E2,4.702469062E0,3.422180848E0
1.833072458E2,6.494700744E1,2.554782300E1,2.330991943E1,1.607859636E0,2.765722740E2,4.707779643E0,3.414871573E0
1.843072448E2,6.494700610E1,2.554778450E1,2.343470835E1,1.652373274E0,2.717674494E2,4.709126508E0,3.413014001E0
1.853072451E2,6.494700610E1,2.554774902E1,2.367257168E1,1.619708738E0,2.690863002E2,4.711762120E0,3.409374540E0
1.863072453E2,6.494700694E1,2.554771264E1,2.403950929E1,1.637541665E0,2.723120547E2,4.710720027E0,3.410814251E0
1.873072450E2,6.494700830E1,2.554767619E1,2.454322454E1,1.614965939E0,2.754714365E2,4.704153760E0,3.419864681E0
1.883072446E2,6.494700907E1,2.554764125E1,2.420139270E1,1.645072568E0,2.786441649E2,4.698758169E0,3.427274238E0
1.893072444E2,6.494701467E1,2.554761046E1,2.396768980E1,1.636504518E0,2.877543569E2,4.699131412E0,3.426762467E0
1.903072436E2,6.494701908E1,2.554758061E1,2.425845696E1,1.642506921E0,2.921964651E2,4.702691090E0,3.421875736E0
1.913072435E2,6.494701327E1,2.554754309E1,2.454150533E1,1.632200761E0,2.767273741E2,4.704889402E0,3.418852548E0
1.923072430E2,6.494702083E1,2.554751461E1,2.544667452E1,1.547810727E0,2.872048732E2,4.706503520E0,3.416630159E0
1.933072435E2,6.494702515E1,2.554748135E1,2.540535354E1,1.552733966E0,2.931252742E2,4.705538487E0,3.417959125E0
1.943072428E2,6.494702915E1,2.554744721E1,2.527573341E1,1.622958991E0,2.953282911E2,4.710302812E0,3.411390398E0
1.953072426E2,6.494703289E1,2.554741722E1,2.588389230E1,1.634499827E0,2.953371879E2,4.715426632E0,3.404304439E0
1.963072426E2,6.494703791E1,2.554738980E1,2.650085293E1,1.531947268E0,2.962435470E2,4.717334992E0,3.401659537E0
1.973072424E2,6.494703415E1,2.554736831E1,2.627103619E1,1.023530734E0,2.846868285E2,4.715181483E0,3.404643977E0
1.983072423E2,6.494703648E1,2.554734044E1,2.666418289E1,1.240685932E0,2.863700953E2,4.715464592E0,3.404251859E0
1.993072421E2,6.494704099E1,2.554730527E1,2.643419843E1,1.439376178E0,2.889628563E2,4.714510135E0,3.405573552E0
2.003072422E2,6.494704129E1,2.554726923E1,2.649538908E1,1.477847047E0,2.877638744E2,4.717319634E0,3.401680835E0
2.013072414E2,6.494704593E1,2.554724100E1,2.642361193E1,1.408551957E0,2.894556531E2,4.719279340E0,3.398961539E0
2.023072411E2,6.494704703E1,2.554720822E1,2.653963927E1,1.440764158E0,2.842877826E2,4.722327634E0,3.394725137E0
2.033072407E2,6.494704707E1,2.554717004E1,2.632537325E1,1.585818270E0,2.838744464E2,4.726676363E0,3.388667525E0
2.043072409E2,6.494704799E1,2.554715400E1,2.699104340E1,1.108660736E0,2.814228480E2,4.725506976E0,3.390298047E0
2.053072403E2,6.494704667E1,2.554711555E1,2.625429436E1,1.410879699E0,2.792630596E2,4.723291661E0,3.393383697E0
2.063072407E2,6.494704702E1,2.554707778E1,2.643942716E1,1.464327500E0,2.813454162E2,4.724034194E0,3.392349919E0
2.073072405E2,6.494704780E1,2.554704622E1,2.755583631E1,1.408198642E0,2.827241864E2,4.723864065E0,3.392586819E0
2.083072405E2,6.494704973E1,2.554701543E1,2.766786508E1,1.420416423E0,2.872864030E2,4.724311606E0,3.391963573E0
2.093072399E2,6.494704843E1,2.554698762E1,2.727534282E1,1.176027258E0,2.809818200E2,4.722219172E0,3.394876011E0
2.103072393E2,6.494705208E1,2.554695530E1,2.778730382E1,1.313534124E0,2.859104957E2,4.723736496E0,3.392764441E0
2.113072399E2,6.494705839E1,2.554692021E1,2.829954147E1,1.434182025E0,2.887102904E2,4.716118842E0,3.403345428E0
2.123072395E2,6.494706141E1,2.554688460E1,2.766709635E1,1.562801575E0,2.855612756E2,4.714403957E0,3.405720535E0
2.133072385E2,6.494706669E1,2.554686673E1,2.778663553E1,1.053797946E0,2.901797527E2,4.711474360E0,3.409772190E0
