"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.898081500E0,9.234699176E-1,9.882981437E-1,8.413734019E-2
2.908012500E0,5.485873805E-1,9.356252557E-1,6.226126921E-1
2.917944500E0,5.343580350E-2,1.253639528E0,1.726412641E0
2.927876500E0,-4.766408271E-1,9.614053372E-1,3.248382649E0
2.937807500E0,-3.204535110E-1,6.620895839E-1,4.499310822E0
2.947739500E0,2.403478990E-1,-7.319836915E-3,4.047436243E0
2.957671500E0,6.698502278E-1,-8.888843679E-1,2.981706346E0
2.967601792E0,7.556624298E-1,-1.307721302E0,1.956609920E0
2.977533792E0,8.211139691E-1,-1.357318262E0,1.681734066E0
2.987465792E0,1.092095577E0,-9.767361519E-1,1.494279934E0
2.997396792E0,1.417008102E0,-5.474049273E-1,1.163174915E0
3.007328792E0,1.335905613E0,-3.037540823E-1,7.975385803E-1
3.017259792E0,6.773056470E-1,-2.221822080E-1,4.261532629E-1
3.027191792E0,-1.372699656E-2,-1.148121259E-1,1.746604246E-1
3.037123792E0,-1.302362768E-1,-1.034653115E-1,-2.695741832E-1
3.047054792E0,1.194182334E-1,-3.262120682E-1,-7.259838635E-1
3.056986792E0,5.447954246E-1,-5.812173289E-1,-1.064707804E0
3.066918792E0,-6.855766797E-1,-7.496080765E-1,-1.909290158E0
3.076849792E0,-2.177609236E0,-3.673092234E-1,-1.025686995E0
3.086781792E0,-1.765815711E0,-5.337312135E-1,9.847763658E-2
3.096713792E0,-1.181132665E0,-9.682790315E-1,7.276310241E-1
3.106644792E0,-9.238147572E-1,-8.705469149E-1,2.500199246E-1
3.116576792E0,-1.008786495E-1,-7.444405997E-1,-9.789806056E-1
3.126507792E0,6.308973927E-1,-4.099450734E-1,-2.057504795E0
3.136439792E0,5.220885666E-1,-2.059550151E-1,-2.817508929E0
3.146371792E0,-1.926838821E-1,5.366282165E-3,-3.362357161E0
3.156302792E0,-1.212504877E0,4.388303187E-1,-3.428071679E0
3.166234792E0,-1.194954532E0,2.665880102E-1,-1.217427136E0
3.176166792E0,-7.231136846E-1,-5.425192863E-2,-2.756593806E-1
3.186097792E0,-4.418825653E-1,5.517526245E-1,-6.741354328E-1
3.196029792E0,3.455602124E-2,9.733953452E-1,-1.443899154E0
3.205961792E0,3.573671295E-1,1.472615415E0,-1.669029821E0
3.215892792E0,8.009029220E-1,2.025507369E0,-1.425220224E0
